studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 6.36
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.9
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.5600000000000005
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.68
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.04
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 3.52
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.2
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.26
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.92
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.18
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.4
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.64
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.4
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 4.66
studytype: study1, user: 9, date: 0118, size: 3, pin: 2, time: 3.9
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 3.62
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 4.2
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 3.48
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 1.8
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 3.5
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 4.2
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 3.96
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 3.22
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 4.8
studytype: study1, user: 10, date: 0118, size: 3, pin: 1, time: 3.72
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 4.5200000000000005
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 5.16
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 4.18
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 4.42
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 4.28
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 4.6000000000000005
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 5.78
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 4.5
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 3.92
studytype: study1, user: 10, date: 0118, size: 3, pin: 2, time: 4.2
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 3.86
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 3.7
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 4.94
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 4.5600000000000005
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 8.38
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 5.2
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 3.94
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 3.58
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 3.8200000000000003
studytype: study1, user: 11, date: 0118, size: 3, pin: 1, time: 4.0
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 2.82
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 3.2800000000000002
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 2.84
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 3.04
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 2.72
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 2.52
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 2.7600000000000002
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 2.86
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 7.16
studytype: study1, user: 11, date: 0118, size: 3, pin: 2, time: 2.94
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.86
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.46
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.36
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.64
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.52
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.6
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.66
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.64
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.42
studytype: study1, user: 12, date: 0118, size: 3, pin: 1, time: 2.7
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.3000000000000003
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.36
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.22
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.64
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.3000000000000003
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.2600000000000002
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.72
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.7
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.3000000000000003
studytype: study1, user: 12, date: 0118, size: 3, pin: 2, time: 3.54
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.7600000000000002
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.34
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.6
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.34
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.36
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.62
