date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7854301, correct_accuracy: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.25]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7854301, correct_accuracy: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.25, 0.25]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7854301, correct_accuracy: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.25, 0.25, 0.25]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7854301, correct_accuracy: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.25, 0.25, 0.25, 0.25]
