model:head+eye, augmentation_time: 20
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 7
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 8
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 9
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 10
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 11
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 12
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 13
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 14
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 15
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 16
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 17
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 18
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 19
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 20
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 1
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 2
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 3
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 4
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 5
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 6
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 7
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 8
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 9
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 10
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 11
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 12
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 13
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 14
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 15
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 16
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 17
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 18
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 19
member: study2_11_0118_1-7, size: 3, pin: 18, num: 1, augment_time: 20
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 1
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 2
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 3
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 4
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 5
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 6
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 7
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 8
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 9
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 10
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 11
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 12
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 13
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 14
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 15
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 16
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 17
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 18
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 19
member: study2_16_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 20
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 1
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 2
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 3
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 4
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 5
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 6
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 7
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 8
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 9
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 10
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 11
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 12
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 13
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 14
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 15
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 16
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 17
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 18
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 19
member: study2_21_0119_1-10, size: 3, pin: 18, num: 1, augment_time: 20
test size: 0.8 ******************* 
pin_list: [1]----------------------

X_shape (792, 6, 110) (3168, 6, 110)
confusion: [[152   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   8   0
    0   0   0]
 [  0 112   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
