N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.04366434,1.064042,-0.4012526,0.5773948,-0.481703,-0.4827246,0.4489482
-0.04330289,1.063998,-0.4010364,0.5807866,-0.4832282,-0.4786235,0.447322
-0.04318762,1.064014,-0.4009703,0.5817358,-0.483455,-0.4775224,0.4470202
-0.04318762,1.064014,-0.4009703,0.5817358,-0.483455,-0.4775224,0.4470202
-0.04320931,1.063955,-0.4008831,0.5821186,-0.4835161,-0.4769501,0.4470668
-0.04316151,1.063939,-0.4008345,0.582184,-0.4833703,-0.4767597,0.4473422
-0.04308248,1.063946,-0.4006147,0.5821531,-0.4831542,-0.4763507,0.4480511
-0.04316878,1.06397,-0.4004234,0.5819147,-0.4832254,-0.4761926,0.4484521
-0.04332006,1.06398,-0.4003425,0.5815893,-0.4833674,-0.4762641,0.448645
-0.04332006,1.06398,-0.4003425,0.5815893,-0.4833674,-0.4762641,0.448645
-0.04342997,1.063992,-0.4001613,0.5813435,-0.4836902,-0.4760345,0.4488593
-0.04342997,1.063992,-0.4001613,0.5813435,-0.4836902,-0.4760345,0.4488593
-0.04354048,1.063974,-0.400085,0.5812616,-0.4840885,-0.4758539,0.4487274
-0.04353178,1.063983,-0.4000925,0.5813507,-0.484152,-0.4757452,0.4486588
-0.04348767,1.064017,-0.4001392,0.5817007,-0.4841903,-0.4754677,0.4484578
-0.04344022,1.064022,-0.4001344,0.5819445,-0.4843654,-0.475185,0.4482521
-0.04343879,1.063989,-0.4001263,0.5821377,-0.4848238,-0.4747842,0.4479303
-0.04337311,1.06398,-0.400173,0.5823847,-0.4850214,-0.4744814,0.4477161
-0.04337311,1.06398,-0.400173,0.5823847,-0.4850214,-0.4744814,0.4477161
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.04328012,1.063972,-0.4001998,0.5826157,-0.485118,-0.4741863,0.4476236
-0.0450964,1.063911,-0.39832,0.6159098,-0.5020071,-0.4442948,0.413819
-0.04508114,1.063922,-0.3982311,0.6169959,-0.5022051,-0.4434896,0.4128233
-0.04521585,1.06392,-0.3981429,0.6174661,-0.5022332,-0.4431043,0.4124998
-0.04521585,1.06392,-0.3981429,0.6174661,-0.5022332,-0.4431043,0.4124998
-0.04568815,1.063901,-0.397867,0.6182037,-0.5017008,-0.4427072,0.4124694
-0.04584706,1.063901,-0.3978279,0.6182545,-0.5017402,-0.4426887,0.412365
-0.0461067,1.063928,-0.3978925,0.6185044,-0.5019708,-0.4425482,0.4118603
-0.04639208,1.063948,-0.3980408,0.6185374,-0.5020915,-0.4426647,0.4115381
-0.04646087,1.063987,-0.3980661,0.618588,-0.502089,-0.4424991,0.4116431
-0.04648483,1.063982,-0.3980465,0.6185472,-0.5020578,-0.4423605,0.4118915
-0.04648483,1.063982,-0.3980465,0.6185472,-0.5020578,-0.4423605,0.4118915
-0.04650724,1.063976,-0.3980376,0.6184889,-0.5021074,-0.4422383,0.4120497
-0.04663086,1.063996,-0.3978922,0.6176741,-0.5022157,-0.4422321,0.4131452
-0.04666007,1.064022,-0.3977785,0.6172725,-0.5022573,-0.442224,0.4137031
-0.04683554,1.06404,-0.3974771,0.6162633,-0.5024006,-0.4422852,0.4149662
-0.04699397,1.064094,-0.3970327,0.6148764,-0.5027465,-0.4422947,0.4165914
-0.04709482,1.064128,-0.3966618,0.6139011,-0.503051,-0.4422366,0.4177224
-0.04709482,1.064128,-0.3966618,0.6139011,-0.503051,-0.4422366,0.4177224
-0.04745507,1.064303,-0.3955615,0.6113688,-0.5039491,-0.441974,0.4206216
-0.04782605,1.064381,-0.3943613,0.6087309,-0.5049633,-0.441573,0.4236414
-0.04827535,1.064475,-0.3930695,0.6057905,-0.5061868,-0.4412024,0.4267708
-0.04827535,1.064475,-0.3930695,0.6057905,-0.5061868,-0.4412024,0.4267708
-0.04885983,1.064643,-0.3917285,0.6028534,-0.5075479,-0.4407302,0.4297904
-0.04918122,1.064693,-0.3911105,0.6015108,-0.5082355,-0.440458,0.4311361
-0.04968917,1.064775,-0.3901013,0.5992861,-0.5096217,-0.4398924,0.4331703
-0.0501895,1.064774,-0.3893383,0.5977146,-0.5110217,-0.4391464,0.4344474
-0.05050349,1.064781,-0.3890175,0.5971637,-0.5118475,-0.4387074,0.4346763
-0.05050349,1.064781,-0.3890175,0.5971637,-0.5118475,-0.4387074,0.4346763
-0.05077374,1.0648,-0.3886729,0.5967119,-0.5127306,-0.4381099,0.4348586
-0.05140913,1.064869,-0.387769,0.5960737,-0.5155644,-0.4355597,0.4349451
-0.05148733,1.064913,-0.3875126,0.596304,-0.5164111,-0.4344581,0.4347268
-0.05148733,1.064913,-0.3875126,0.596304,-0.5164111,-0.4344581,0.4347268
-0.05176234,1.065074,-0.3866671,0.5973082,-0.5193051,-0.4305123,0.4338251
-0.05188191,1.065068,-0.3863552,0.5977826,-0.5205982,-0.4288684,0.43325
-0.05198765,1.065088,-0.3861069,0.5984098,-0.5218573,-0.4271887,0.4325281
-0.05198765,1.065088,-0.3861069,0.5984098,-0.5218573,-0.4271887,0.4325281
-0.05201471,1.065207,-0.3855397,0.6017067,-0.5253536,-0.421463,0.429327
-0.05191743,1.065266,-0.3853666,0.6033041,-0.5263361,-0.4188773,0.4284113
-0.05185974,1.065262,-0.3853315,0.6040451,-0.5268078,-0.417714,0.4279229
-0.05187309,1.065239,-0.3854545,0.6051926,-0.5273823,-0.4162759,0.4269945
-0.05187309,1.065239,-0.3854545,0.6051926,-0.5273823,-0.4162759,0.4269945
-0.05187941,1.065263,-0.3855323,0.6056241,-0.527405,-0.4158417,0.4267777
-0.05197036,1.065309,-0.3857808,0.6063649,-0.5268558,-0.4151988,0.4270299
-0.05212379,1.065327,-0.3859106,0.6063375,-0.5264233,-0.4153589,0.4274463
-0.05219913,1.06536,-0.3859666,0.6059771,-0.5258727,-0.4157711,0.4282337
-0.05219913,1.06536,-0.3859666,0.6059771,-0.5258727,-0.4157711,0.4282337
-0.05228972,1.065384,-0.3859437,0.6056839,-0.5257543,-0.4159565,0.4286137
-0.05243695,1.065451,-0.3858662,0.6051221,-0.5255237,-0.4162368,0.4294171
-0.05253541,1.065445,-0.3856994,0.604556,-0.5254534,-0.4164228,0.4301197
-0.05262136,1.065457,-0.3856142,0.6042439,-0.5254968,-0.4164875,0.4304423
-0.05278146,1.065472,-0.3855329,0.6036352,-0.5255049,-0.4167613,0.431021
-0.05281293,1.065506,-0.3853588,0.603169,-0.5255105,-0.416775,0.4316531
