N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
0.005277395,1.132358,-0.108563,0.2424866,-0.5414081,-0.5046181,0.6272464
0.005694307,1.131819,-0.1088485,0.2380244,-0.5371676,-0.5118552,0.6267373
0.005812109,1.131529,-0.1088647,0.2355865,-0.5352442,-0.5155465,0.6262782
0.005457275,1.131072,-0.1089571,0.2291923,-0.5308639,-0.5242652,0.6251404
0.005880646,1.130619,-0.1090336,0.2235993,-0.5256872,-0.5316349,0.6253165
0.006571516,1.129434,-0.1086343,0.2214441,-0.5233518,-0.5339829,0.6260413
0.006800681,1.129284,-0.108321,0.216204,-0.5200532,-0.5399567,0.6254976
0.006800681,1.129284,-0.108321,0.216204,-0.5200532,-0.5399567,0.6254976
0.006695233,1.129047,-0.108321,0.2107035,-0.5163835,-0.54664,0.6246094
0.006767869,1.128422,-0.108808,0.2077266,-0.5122645,-0.5532097,0.6232125
0.005282886,1.127737,-0.1097413,0.2051583,-0.5091855,-0.5620966,0.6186176
0.005282886,1.127737,-0.1097413,0.2051583,-0.5091855,-0.5620966,0.6186176
0.004485726,1.127263,-0.1104896,0.2038738,-0.5068876,-0.5673096,0.6161658
0.003670871,1.125996,-0.1122314,0.2026014,-0.5005383,-0.5774521,0.6123424
0.003373586,1.125381,-0.1133186,0.2029167,-0.4965922,-0.5826689,0.6105063
0.001773983,1.124194,-0.1151977,0.2033332,-0.4908699,-0.5933337,0.6046963
0.0007458925,1.123827,-0.1162183,0.2034338,-0.4880584,-0.5989211,0.601421
0.0001263022,1.123159,-0.117526,0.2037796,-0.4822325,-0.6076534,0.5972295
0.0005489513,1.122328,-0.1179835,0.2048168,-0.4768426,-0.6136131,0.5951051
-0.0005704835,1.121635,-0.1184471,0.2051571,-0.4734959,-0.6207349,0.5902545
-0.0005704835,1.121635,-0.1184471,0.2051571,-0.4734959,-0.6207349,0.5902545
-0.001337044,1.121104,-0.1195986,0.2070941,-0.4698465,-0.6275511,0.5852658
-0.001537338,1.120435,-0.1203819,0.209397,-0.4666503,-0.6327973,0.5813416
-0.001537338,1.120435,-0.1203819,0.209397,-0.4666503,-0.6327973,0.5813416
-0.002906971,1.119886,-0.1211061,0.2106175,-0.4646796,-0.6391193,0.5755343
-0.003932141,1.119296,-0.122504,0.2124901,-0.4612945,-0.645907,0.5699645
-0.003932141,1.119296,-0.122504,0.2124901,-0.4612945,-0.645907,0.5699645
-0.004268765,1.118632,-0.1239252,0.2148467,-0.4569036,-0.6518785,0.5658042
-0.005206734,1.11811,-0.1249247,0.2163933,-0.4538553,-0.6577759,0.5608211
-0.005763888,1.117918,-0.1254635,0.2171907,-0.4523966,-0.6608118,0.5581159
-0.005308717,1.114033,-0.1252334,0.2194975,-0.4489626,-0.6637824,0.556459
-0.005573519,1.113291,-0.1263424,0.2224485,-0.4450962,-0.6686756,0.5525205
-0.005573519,1.113291,-0.1263424,0.2224485,-0.4450962,-0.6686756,0.5525205
-0.006881908,1.112774,-0.12789,0.2256557,-0.4419418,-0.6746892,0.5464079
-0.007612288,1.112518,-0.1289431,0.2276323,-0.4399239,-0.678056,0.5430383
-0.008683965,1.112363,-0.1314981,0.2326026,-0.4346384,-0.6849866,0.5364503
-0.008927599,1.111849,-0.1324397,0.2352058,-0.4319788,-0.6877801,0.5338832
-0.01012093,1.111167,-0.1347485,0.2408066,-0.4277449,-0.6937791,0.5269887
-0.01105597,1.110903,-0.1359704,0.2434248,-0.4258084,-0.6972668,0.522734
-0.01205483,1.11063,-0.1373121,0.2461884,-0.4236087,-0.700995,0.5182209
-0.01358062,1.110013,-0.1404546,0.253075,-0.4184586,-0.7083991,0.5089363
-0.01438107,1.109631,-0.1416622,0.2561133,-0.4161572,-0.7117277,0.5046415
